,word,trueFrequency,privateFreq_run_0,privateFreq_run_1,privateFreq_run_2,privateFreq_run_3,privateFreq_run_4,privateFreq_run_5,privateFreq_run_6,privateFreq_run_7,privateFreq_run_8,privateFreq_run_9,Mean_Freq,StdDev_Freq
0,jxafbe,84665,82721,79274,85183,88137,85675,84198,89614,78289,90599,83213,84690.3,4066.98837662
1,tvuqjt,78251,68441,69426,77797,77304,75827,84690,80259,77797,82721,69426,76368.8,5668.91213942
2,immzxh,71949,66472,76812,72381,63025,75335,65980,68934,73858,65980,69919,69869.6,4592.38473998
3,fgcipd,66029,68934,63518,64010,59086,50715,69426,72873,70411,63518,70903,65339.4,6703.49607295
4,rfbycz,60733,55147,61548,60071,58101,64502,70411,61056,57609,59578,63518,61154.1,4272.4314818
5,hjacwy,55822,48746,45299,55639,53670,47269,58101,62040,64995,53177,47761,53669.7,6601.97608549
6,yoexzy,51221,54655,59086,61548,45299,48254,51700,48254,48746,52193,47269,51700.4,5308.2083439
7,igyavo,46855,44314,48254,46776,41852,39391,45299,49731,49731,54162,38406,45791.6,4962.02210573
8,yotcdj,43331,39391,41360,36436,39391,45299,39391,40375,38898,36436,42345,39932.2,2651.07780178
9,ateofy,39656,38898,36929,37421,32990,41360,36929,32990,34959,42345,42837,37765.8,3588.5668077
10,vyvjpx,35940,29050,34467,32990,34959,32497,34467,26588,36436,33482,27573,32250.9,3349.80020797
11,dtjxxb,32602,26588,36929,39391,26096,26588,26096,40375,35944,33482,24619,31610.8,6218.89880927
12,iodowc,30590,29543,32497,0,29050,31512,27081,32005,27081,37913,26588,27327.0,10184.4198657
13,ufaxhf,27762,24619,26096,21172,0,23634,29543,28558,32005,32497,0,21812.4,12040.8158934
14,nkvqie,25335,25111,0,25111,24619,30035,27081,0,0,25604,26588,18414.9,12798.0151625
15,iixbvj,22925,0,0,0,25604,29543,20680,25111,0,21172,34467,15657.7,14028.4249773
16,yxfdnm,21040,0,0,20680,24127,0,0,0,0,26096,26588,9749.1,12680.9041953
17,qfuqoa,19411,0,23634,0,0,0,0,0,0,0,0,2363.4,7473.72702204
18,vwqouw,17211,0,0,21172,0,0,0,0,26588,0,0,4776.0,10149.2942721
19,kexmxy,16079,0,0,0,0,0,0,0,0,0,0,0.0,0.0
20,pomekc,14656,0,0,0,0,0,0,0,0,0,0,0.0,0.0
21,oucrha,13290,0,0,0,0,0,0,0,0,0,0,0.0,0.0
22,actsrj,12345,0,0,0,0,0,0,0,0,0,0,0.0,0.0
23,tnjkck,11022,0,0,0,0,0,0,0,0,0,0,0.0,0.0
24,eisnxg,9876,0,0,0,0,0,0,0,0,0,0,0.0,0.0
25,wcevba,8966,0,0,0,0,0,0,0,0,0,0,0.0,0.0
