,word,trueFrequency,privateFreq_run_0,privateFreq_run_1,privateFreq_run_2,privateFreq_run_3,privateFreq_run_4,privateFreq_run_5,privateFreq_run_6,privateFreq_run_7,privateFreq_run_8,privateFreq_run_9,Mean_Freq,StdDev_Freq
0,tkxo,89581,86003,92568,94538,107012,82064,89286,91255,95851,95851,103729,93815.7,7520.30818
1,indo,82334,80751,84034,72873,72873,89286,88629,74843,78782,77469,74843,79438.3,6119.53671177
2,iqef,75130,76812,72216,59086,83377,82721,72873,70903,74843,63025,72216,72807.2,7590.0454954
3,qunb,68752,70247,66308,70903,78125,56460,69590,76812,80751,66964,68277,70443.7,6962.0182267
4,fmwc,62606,65651,66308,49238,51208,63025,61056,63025,60399,74186,60399,61449.5,7186.49547183
5,well,57271,53834,53177,70247,68277,54490,59086,61712,49238,61712,49238,58101.1,7384.090126
6,ciup,52240,64338,48582,59086,55147,54490,55147,47269,53177,52521,52521,54227.8,4885.43556116
7,tfim,47902,49895,49895,52521,57117,53834,38078,38734,36764,51208,50551,47859.7,7241.32658273
8,bflf,43904,51864,35451,40704,42673,43330,48582,45956,36108,53177,49238,44708.3,6162.09515326
9,pujn,39951,38734,31512,34138,40047,33482,48582,43330,41360,49238,42017,40244.0,6017.57863818
10,nolm,36259,32825,38078,39391,35451,45956,35451,33482,34138,38734,30856,36436.2,4313.57654647
11,atav,33060,34795,29543,44643,44643,32825,38734,35451,39391,34138,40047,37421.0,4961.58888081
12,msdz,30083,0,0,0,27573,30199,32825,34795,0,40704,0,16609.6,17821.4916273
13,okyq,27181,24947,39391,28886,0,0,0,32825,26260,0,26260,17856.9,15903.7791976
14,wxmb,24948,0,0,23634,24291,29543,0,30199,26260,23634,0,15756.1,13739.6173766
15,gjwy,22639,0,0,0,26917,0,0,0,0,0,0,2691.7,8511.90277788
16,nsys,20486,0,0,0,0,0,0,0,0,0,21665,2166.5,6851.07455075
17,jbdm,18588,0,0,0,0,0,0,0,0,0,0,0.0,0.0
18,ewcv,16968,0,0,0,0,0,0,0,0,0,0,0.0,0.0
19,fpmu,14948,0,0,0,0,0,0,0,0,0,0,0.0,0.0
20,rrer,13811,0,0,0,0,0,0,0,0,0,0,0.0,0.0
21,atyl,12324,0,0,0,0,0,0,0,0,0,0,0.0,0.0
22,zopu,11474,0,0,0,0,0,0,0,0,0,0,0.0,0.0
23,crcq,10146,0,0,0,0,0,0,0,0,0,0,0.0,0.0
24,xwcc,9084,0,0,0,0,0,0,0,0,0,0,0.0,0.0
25,zppf,8266,0,0,0,0,0,0,0,0,0,0,0.0,0.0
26,tkjr,7302,0,0,0,0,0,0,0,0,0,0,0.0,0.0
27,htun,6798,0,0,0,0,0,0,0,0,0,0,0.0,0.0
28,bhgt,6097,0,0,0,0,0,0,0,0,0,0,0.0,0.0
29,ukvk,5543,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,avri,4848,0,0,0,0,0,0,0,0,0,0,0.0,0.0
31,rcfg,4455,0,0,0,0,0,0,0,0,0,0,0.0,0.0
32,viry,3809,0,0,0,0,0,0,0,0,0,0,0.0,0.0
33,rdsh,3456,0,0,0,0,0,0,0,0,0,0,0.0,0.0
34,jlkm,3139,0,0,0,0,0,0,0,0,0,0,0.0,0.0
35,cgiq,2708,0,0,0,0,0,0,0,0,0,0,0.0,0.0
36,itip,2542,0,0,0,0,0,0,0,0,0,0,0.0,0.0
37,rmwa,2219,0,0,0,0,0,0,0,0,0,0,0.0,0.0
