,word,trueFrequency,privateFreq_run_0,privateFreq_run_1,privateFreq_run_2,privateFreq_run_3,privateFreq_run_4,privateFreq_run_5,privateFreq_run_6,privateFreq_run_7,privateFreq_run_8,privateFreq_run_9,Mean_Freq,StdDev_Freq
0,the,60305,0,0,0,0,0,0,0,0,0,0,0.0,0.0
1,",",50162,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2,.,42419,0,0,0,0,0,0,0,0,0,0,0.0,0.0
3,of,31591,0,0,0,0,0,0,0,0,0,0,0.0,0.0
4,and,25024,0,0,0,0,0,0,0,0,0,0,0.0,0.0
5,to,22499,0,0,0,0,0,0,0,0,0,0,0.0,0.0
6,a,19940,0,0,0,0,0,0,0,0,0,0,0.0,0.0
7,in,18478,0,0,0,0,0,0,0,0,0,0,0.0,0.0
8,that,9080,0,0,9191,0,0,0,7878,13130,0,21665,5186.4,7596.19086121
9,is,8839,0,0,0,0,0,0,0,0,0,0,0.0,0.0
10,was,8466,0,0,0,0,0,0,0,0,0,0,0.0,0.0
11,he,8300,0,0,0,0,0,0,0,0,0,0,0.0,0.0
12,for,8227,0,0,0,0,0,0,0,0,0,0,0.0,0.0
13,``,7735,0,0,0,0,0,0,0,0,0,0,0.0,0.0
14,'',7690,0,0,0,0,0,0,0,0,0,0,0.0,0.0
15,it,7458,0,0,0,0,0,0,0,0,0,0,0.0,0.0
16,with,6451,0,5252,0,21008,0,10504,0,10504,10504,12473,7024.5,7165.20405618
17,as,6295,0,0,0,0,0,0,0,0,0,0,0.0,0.0
18,his,6052,0,0,0,0,0,0,0,0,0,0,0.0,0.0
19,on,5864,0,0,0,0,0,0,0,0,0,0,0.0,0.0
20,be,5481,0,0,0,0,0,0,0,0,0,0,0.0,0.0
21,;,4724,0,0,0,0,0,0,0,0,0,0,0.0,0.0
22,at,4696,0,0,0,0,0,0,0,0,0,0,0.0,0.0
23,by,4514,0,0,0,0,0,0,0,0,0,0,0.0,0.0
24,had,4436,0,0,0,0,0,0,0,0,0,0,0.0,0.0
25,i,4431,0,0,0,0,0,0,0,0,0,0,0.0,0.0
26,this,4387,0,0,0,0,19039,0,0,5252,0,0,2429.1,6065.0341842
27,?,4007,0,0,0,0,0,0,0,0,0,0,0.0,0.0
28,not,3959,0,0,0,0,0,0,0,0,0,0,0.0,0.0
29,from,3848,11160,0,10504,0,10504,0,0,0,0,0,3216.8,5182.61634484
30,but,3784,0,0,0,0,0,0,0,0,0,0,0.0,0.0
31,are,3736,0,0,0,0,0,0,0,0,0,0,0.0,0.0
32,or,3557,0,0,0,0,0,0,0,0,0,0,0.0,0.0
33,have,3419,11160,0,0,0,0,0,5908,0,10504,0,2757.2,4639.95404192
34,an,3183,0,0,0,0,0,0,0,0,0,0,0.0,0.0
35,they,3158,0,5252,6565,17069,0,5252,0,0,6565,0,4070.3,5447.14806216
36,which,3067,0,0,0,0,0,0,0,0,0,0,0.0,0.0
37,--,2967,0,0,0,0,0,0,0,0,0,0,0.0,0.0
38,you,2893,0,0,0,0,0,0,0,0,0,0,0.0,0.0
39,were,2885,0,0,11817,0,0,0,0,0,0,0,1181.7,3736.86351102
40,one,2761,0,0,0,0,0,0,0,0,0,0,0.0,0.0
41,her,2644,0,0,0,0,0,0,0,0,0,0,0.0,0.0
42,all,2521,0,0,0,0,0,0,0,0,0,0,0.0,0.0
43,she,2423,0,0,0,0,0,0,0,0,0,0,0.0,0.0
44,their,2345,0,0,0,0,0,0,0,0,0,0,0.0,0.0
45,would,2332,0,0,0,0,0,0,0,0,0,0,0.0,0.0
46,we,2289,0,0,0,0,0,0,0,0,0,0,0.0,0.0
47,there,2283,0,0,0,0,0,0,0,0,0,0,0.0,0.0
48,been,2217,0,0,0,5252,0,0,0,0,0,0,525.2,1660.82822712
49,him,2204,0,0,0,0,0,0,0,0,0,0,0.0,0.0
50,),2181,0,0,0,0,0,0,0,0,0,0,0.0,0.0
51,has,2086,0,0,0,0,0,0,0,0,0,0,0.0,0.0
52,when,2074,0,0,0,0,0,0,0,0,0,0,0.0,0.0
53,(,2031,0,0,0,0,0,0,0,0,0,0,0.0,0.0
54,more,1983,0,0,0,0,0,5908,0,0,0,0,590.8,1868.27364163
55,will,1935,0,0,0,0,0,0,0,0,0,8534,853.4,2698.68775519
56,if,1921,0,0,0,0,0,0,0,0,0,0,0.0,0.0
57,who,1916,0,0,0,0,0,0,0,0,0,0,0.0,0.0
58,out,1871,0,0,0,0,0,0,0,0,0,0,0.0,0.0
59,no,1848,0,0,0,0,0,0,0,0,0,0,0.0,0.0
60,so,1792,0,0,0,0,0,0,0,0,0,0,0.0,0.0
61,said,1643,0,0,12473,0,0,0,0,0,0,0,1247.3,3944.30892553
62,up,1636,0,0,0,0,0,0,0,0,0,0,0.0,0.0
63,about,1619,0,0,0,0,0,0,0,0,0,0,0.0,0.0
64,what,1615,0,0,0,0,0,0,0,0,0,0,0.0,0.0
65,its,1575,0,0,0,0,0,0,0,0,0,0,0.0,0.0
66,into,1566,0,0,0,0,0,0,0,0,0,0,0.0,0.0
67,them,1553,0,17069,15099,0,0,5252,0,9191,0,12473,5908.4,6975.13337507
68,can,1527,0,0,0,0,0,0,0,0,0,0,0.0,0.0
69,other,1521,0,0,0,0,0,0,0,0,0,0,0.0,0.0
70,than,1520,0,0,7221,0,0,0,15756,0,0,0,2297.7,5245.10485119
71,:,1514,0,0,0,0,0,0,0,0,0,0,0.0,0.0
72,only,1486,0,0,0,0,0,6565,0,0,0,0,656.5,2076.0352839
73,some,1435,0,0,0,0,0,0,0,0,0,0,0.0,0.0
74,!,1383,0,0,0,0,0,0,0,0,0,0,0.0,0.0
75,these,1380,0,0,0,0,0,0,0,0,0,0,0.0,0.0
76,new,1365,0,0,0,0,0,0,0,0,0,0,0.0,0.0
77,could,1325,0,0,0,0,0,0,0,0,0,0,0.0,0.0
78,time,1306,0,0,0,0,0,0,0,0,0,0,0.0,0.0
79,two,1270,0,0,0,0,0,0,0,0,0,0,0.0,0.0
80,may,1212,0,0,0,0,0,0,0,0,0,0,0.0,0.0
81,any,1209,0,0,0,0,0,0,0,0,0,0,0.0,0.0
82,then,1195,5908,5252,0,9191,0,5252,0,7221,6565,0,3938.9,3568.98191054
83,like,1176,0,0,0,0,0,0,0,0,0,13130,1313.0,4152.0705678
84,such,1146,0,0,0,0,0,0,0,0,0,0,0.0,0.0
85,do,1104,0,0,0,0,0,0,0,0,0,0,0.0,0.0
86,my,1102,0,0,0,0,0,0,0,0,0,0,0.0,0.0
87,first,1088,0,0,0,0,0,0,0,0,0,0,0.0,0.0
88,over,1086,0,11160,0,0,0,0,0,0,0,0,1116.0,3529.10186875
89,now,1062,0,0,0,0,0,0,0,0,0,0,0.0,0.0
90,me,1035,0,0,0,0,0,0,0,0,0,0,0.0,0.0
91,our,1028,0,0,0,0,0,0,0,0,0,0,0.0,0.0
92,even,1009,0,0,0,0,0,0,0,0,0,5252,525.2,1660.82822712
93,most,1003,0,0,0,0,0,0,0,0,0,0,0.0,0.0
94,man,988,0,0,0,0,0,0,0,0,0,0,0.0,0.0
95,made,974,0,0,0,0,0,0,0,0,0,0,0.0,0.0
96,after,933,0,0,0,0,0,0,0,0,0,0,0.0,0.0
97,many,930,0,0,0,0,0,0,7221,0,0,0,722.1,2283.48069841
98,must,928,0,0,0,0,0,0,0,0,0,0,0.0,0.0
99,also,898,0,0,0,0,0,0,0,0,0,0,0.0,0.0
100,where,879,0,0,0,0,0,0,0,0,0,0,0.0,0.0
101,did,877,0,0,0,0,0,0,0,0,0,0,0.0,0.0
102,through,870,0,0,0,0,0,0,0,0,0,0,0.0,0.0
103,before,847,0,0,0,0,0,0,0,0,0,0,0.0,0.0
104,years,838,0,0,0,0,0,0,0,0,0,0,0.0,0.0
105,back,827,0,0,0,0,0,0,0,0,0,0,0.0,0.0
106,af,812,0,0,0,0,0,0,0,0,0,0,0.0,0.0
107,well,801,6565,0,0,0,0,0,0,0,0,0,656.5,2076.0352839
108,much,796,0,0,0,0,0,0,0,0,0,0,0.0,0.0
109,down,792,0,0,0,0,0,0,0,0,0,0,0.0,0.0
110,each,762,0,0,0,0,0,0,0,0,0,0,0.0,0.0
111,your,755,0,0,0,0,0,0,0,0,0,0,0.0,0.0
112,because,753,0,0,0,0,0,0,0,0,0,0,0.0,0.0
113,just,751,0,0,0,0,0,0,0,10504,0,0,1050.4,3321.65645424
114,those,750,0,0,0,0,0,0,0,0,0,0,0.0,0.0
115,way,748,0,0,0,0,0,0,0,0,0,0,0.0,0.0
116,people,737,0,0,0,0,0,0,0,0,0,0,0.0,0.0
117,little,727,0,0,0,0,0,0,0,0,0,0,0.0,0.0
118,mr.,723,0,0,0,0,0,0,0,0,0,0,0.0,0.0
119,should,718,0,0,0,0,0,0,0,0,0,0,0.0,0.0
120,good,717,0,0,0,0,0,0,0,0,0,0,0.0,0.0
121,too,712,0,0,0,0,0,0,0,0,0,0,0.0,0.0
122,men,706,0,0,0,0,0,0,0,0,0,0,0.0,0.0
123,how,706,0,0,0,0,0,0,0,0,0,0,0.0,0.0
124,world,697,0,0,0,0,0,0,0,0,0,0,0.0,0.0
125,see,696,0,0,0,0,0,0,0,0,0,0,0.0,0.0
126,state,687,0,0,0,0,0,0,0,0,0,0,0.0,0.0
127,very,680,0,0,0,0,0,0,0,0,0,0,0.0,0.0
128,make,668,0,0,0,0,0,0,0,0,0,0,0.0,0.0
129,still,654,0,0,0,0,0,0,0,0,0,0,0.0,0.0
130,long,651,14443,0,0,0,0,0,0,0,0,0,1444.3,4567.27762458
131,here,639,0,0,0,0,0,0,0,0,0,0,0.0,0.0
132,work,639,0,8534,0,0,0,8534,0,0,11817,0,2888.5,4735.97905518
133,between,633,0,0,0,0,0,0,0,0,0,0,0.0,0.0
134,get,631,0,0,0,0,0,0,0,0,0,0,0.0,0.0
135,never,621,0,0,0,0,0,0,0,0,0,0,0.0,0.0
136,being,620,0,0,0,0,0,0,0,0,0,0,0.0,0.0
137,same,620,0,0,0,0,0,0,5252,0,0,0,525.2,1660.82822712
138,while,620,0,0,0,0,0,0,0,0,0,0,0.0,0.0
139,both,608,0,0,0,0,0,0,0,0,0,0,0.0,0.0
140,own,605,0,0,0,0,0,0,0,0,0,0,0.0,0.0
141,another,600,0,0,0,0,0,0,0,0,0,0,0.0,0.0
142,under,597,0,0,0,0,0,0,0,0,0,0,0.0,0.0
143,life,587,0,0,0,0,0,0,0,0,0,0,0.0,0.0
144,us,587,0,0,0,0,0,0,0,0,0,0,0.0,0.0
145,last,584,0,0,0,0,0,0,0,0,0,0,0.0,0.0
146,might,582,0,0,0,0,0,0,0,0,0,0,0.0,0.0
147,day,582,0,0,0,0,0,0,0,0,0,0,0.0,0.0
148,great,580,0,0,0,0,0,0,0,0,0,0,0.0,0.0
149,old,576,0,0,0,0,0,0,0,0,0,0,0.0,0.0
150,off,560,0,0,0,0,0,0,0,0,0,0,0.0,0.0
151,against,557,0,0,0,0,0,0,0,0,0,0,0.0,0.0
152,three,554,0,0,0,0,0,0,0,0,0,0,0.0,0.0
153,know,554,0,0,0,0,0,0,0,0,0,0,0.0,0.0
154,year,552,0,0,0,0,0,0,0,0,0,0,0.0,0.0
155,himself,547,0,0,0,0,0,0,0,0,0,0,0.0,0.0
156,come,540,6565,7878,0,0,0,0,0,0,0,0,1444.3,3060.53887957
157,right,527,0,0,0,0,0,0,0,0,0,0,0.0,0.0
158,found,522,0,0,0,0,0,0,0,0,0,0,0.0,0.0
159,states,520,0,0,0,0,0,0,0,0,0,0,0.0,0.0
160,used,520,0,0,0,0,0,0,0,0,0,5252,525.2,1660.82822712
161,house,520,0,0,0,0,0,0,0,0,0,0,0.0,0.0
162,since,519,0,0,0,0,0,0,0,0,0,0,0.0,0.0
163,go,516,0,0,0,0,0,0,0,0,0,0,0.0,0.0
164,use,515,0,0,0,0,0,0,0,0,0,0,0.0,0.0
165,home,508,0,0,0,0,0,0,0,8534,0,0,853.4,2698.68775519
166,came,501,0,0,0,0,0,0,0,0,0,0,0.0,0.0
167,without,498,0,0,0,0,0,0,0,0,0,0,0.0,0.0
168,take,498,0,0,0,0,0,0,0,0,0,0,0.0,0.0
169,place,491,0,0,0,0,0,0,0,0,0,0,0.0,0.0
170,small,488,0,0,0,0,0,0,0,0,0,0,0.0,0.0
171,american,486,0,0,0,0,0,0,0,0,0,0,0.0,0.0
172,during,483,0,0,0,0,0,0,0,0,0,0,0.0,0.0
173,again,481,0,0,0,0,0,0,0,0,0,0,0.0,0.0
174,few,477,0,0,0,0,0,0,0,0,0,0,0.0,0.0
175,around,476,0,0,0,0,0,0,0,0,0,0,0.0,0.0
176,however,471,0,0,0,0,0,0,0,0,0,0,0.0,0.0
177,1,462,0,0,0,0,0,0,0,0,0,0,0.0,0.0
178,mrs.,460,0,0,0,0,0,0,0,0,0,0,0.0,0.0
179,upon,460,0,0,0,0,0,0,0,0,0,0,0.0,0.0
180,does,454,0,0,0,0,0,0,0,0,0,0,0.0,0.0
181,number,444,0,0,0,0,0,0,0,0,0,0,0.0,0.0
182,high,442,0,0,0,0,0,7878,0,0,0,0,787.8,2491.24234068
183,thought,438,0,0,0,0,0,0,0,0,0,0,0.0,0.0
184,say,437,0,0,0,0,0,0,0,0,0,0,0.0,0.0
185,went,437,0,0,0,0,0,0,0,0,0,0,0.0,0.0
186,general,431,0,0,0,0,0,0,0,0,0,0,0.0,0.0
187,part,425,0,0,0,0,0,8534,0,0,0,0,853.4,2698.68775519
188,school,421,0,0,0,0,0,0,0,0,0,0,0.0,0.0
189,once,421,0,0,0,0,0,0,0,0,0,0,0.0,0.0
190,united,420,0,0,0,0,0,0,0,0,0,0,0.0,0.0
191,something,409,0,0,0,0,0,0,0,0,0,0,0.0,0.0
192,got,408,0,0,0,0,0,0,0,0,0,0,0.0,0.0
193,every,406,0,0,0,0,0,0,0,0,0,0,0.0,0.0
194,course,400,0,0,0,0,0,0,0,0,0,0,0.0,0.0
195,water,397,0,0,0,0,0,0,0,0,0,0,0.0,0.0
196,war,393,0,0,0,0,0,0,0,0,0,0,0.0,0.0
197,think,393,0,0,0,0,0,0,0,0,0,0,0.0,0.0
198,2,391,0,0,0,0,0,0,0,0,0,0,0.0,0.0
199,left,389,0,0,0,0,0,0,0,0,0,0,0.0,0.0
200,until,388,0,0,0,0,0,0,0,0,0,0,0.0,0.0
201,don't,387,0,0,0,0,0,0,0,0,0,0,0.0,0.0
202,away,384,0,0,5252,0,0,0,0,0,0,0,525.2,1660.82822712
203,going,383,0,0,0,0,0,0,0,0,0,0,0.0,0.0
204,put,379,0,0,0,0,0,0,0,0,0,0,0.0,0.0
205,asked,379,0,0,0,0,0,0,0,0,0,0,0.0,0.0
206,though,378,0,0,0,0,0,0,0,0,0,0,0.0,0.0
207,looked,377,0,0,0,0,0,0,0,0,0,0,0.0,0.0
208,public,377,0,0,0,0,0,0,0,0,0,0,0.0,0.0
209,eyes,376,0,0,0,0,0,0,0,0,0,0,0.0,0.0
210,fact,375,0,0,0,0,0,0,0,0,0,0,0.0,0.0
211,almost,374,0,0,0,0,0,0,0,0,0,0,0.0,0.0
212,night,371,0,0,0,0,0,0,0,0,0,0,0.0,0.0
213,enough,370,0,0,0,0,0,0,0,0,0,0,0.0,0.0
214,toward,366,0,0,0,0,0,0,0,0,0,0,0.0,0.0
215,took,366,0,0,0,0,0,0,0,0,0,0,0.0,0.0
216,always,365,0,0,0,0,0,0,0,0,0,0,0.0,0.0
217,give,365,0,0,0,0,0,0,0,0,0,0,0.0,0.0
218,hand,363,11160,0,0,0,0,0,7878,0,0,0,1903.8,4087.43249486
219,group,363,0,0,0,0,0,0,0,0,0,0,0.0,0.0
220,end,363,0,0,0,0,0,0,0,0,0,0,0.0,0.0
221,far,362,0,0,0,0,0,0,0,0,0,0,0.0,0.0
222,yet,356,0,0,0,0,0,0,0,0,0,0,0.0,0.0
223,why,356,0,0,0,0,0,0,0,0,0,0,0.0,0.0
224,didn't,354,0,0,0,0,0,0,0,0,0,0,0.0,0.0
225,told,354,0,0,0,12473,0,0,0,0,0,0,1247.3,3944.30892553
226,later,351,0,0,0,0,0,0,0,0,0,0,0.0,0.0
227,head,348,0,0,0,0,0,0,0,0,0,0,0.0,0.0
228,knew,347,0,0,0,0,0,0,0,0,0,0,0.0,0.0
229,next,345,0,0,0,0,0,0,0,0,0,0,0.0,0.0
230,better,345,0,0,0,0,0,0,0,0,0,0,0.0,0.0
231,church,344,0,0,0,0,0,0,0,0,0,0,0.0,0.0
232,form,343,0,0,7878,7878,0,0,0,0,13130,0,2888.6,4865.78266401
233,less,343,0,0,0,0,0,0,0,0,0,0,0.0,0.0
234,called,343,0,0,0,0,0,0,0,0,0,0,0.0,0.0
235,order,342,0,0,0,0,0,0,0,0,0,0,0.0,0.0
