,word,trueFrequency,privateFreq_run_0,privateFreq_run_1,privateFreq_run_2,privateFreq_run_3,privateFreq_run_4,privateFreq_run_5,privateFreq_run_6,privateFreq_run_7,privateFreq_run_8,privateFreq_run_9,Mean_Freq,StdDev_Freq
0,qdbo,92794,94538,93882,88629,82721,99790,86660,94538,99790,79438,95851,91583.7,6949.60496159
1,dwcd,84306,78782,80751,89286,86660,89286,86660,85347,84034,78782,88629,84821.7,4103.34738828
2,tekp,77363,89286,78782,76156,77469,67621,86003,73529,79438,72216,75499,77599.9,6356.15020538
3,hyrx,70591,57117,68934,82721,60399,60399,62369,72873,74186,70903,80751,69065.2,8850.36140882
4,owdw,63896,48582,79438,55803,63682,65651,58430,56460,51864,65651,61712,60727.3,8705.5435091
5,kdps,58281,57773,65651,61712,66964,68934,61056,55147,74186,66964,72216,65060.3,6107.45317079
6,icih,53000,51864,52521,45299,63025,52521,56460,55147,55803,54490,55803,54293.3,4463.98031283
7,lqex,48084,41360,49895,53177,43986,45956,64338,41360,39391,42673,57773,47990.9,8190.74301948
8,wykh,44149,53177,44643,40047,44643,49895,38734,43986,45299,51208,52521,46415.3,5066.94931339
9,exml,39889,40704,39391,40704,31512,36108,36764,43330,45299,37421,34138,38537.1,4187.40756316
10,roea,36398,25604,41360,45956,60399,27573,42673,34138,34138,30199,32825,37486.5,10410.2102791
11,zquv,32783,24947,38078,38078,0,34138,0,22321,35451,32825,40047,26588.5,15108.4375782
12,aser,29853,45299,0,40704,24947,28886,0,0,32169,24291,29543,22583.9,16875.1280519
13,ankh,27154,24291,20352,0,0,0,23634,31512,0,24291,30856,15493.6,13733.4049043
14,hmwb,24755,32825,35451,0,0,0,0,26260,30856,22321,32169,17988.2,15892.8795083
15,bqhz,22178,0,0,0,0,0,0,0,0,0,0,0.0,0.0
16,oamx,19997,0,0,0,23634,0,0,0,0,0,0,2363.4,7473.72702204
17,mdqm,17748,0,0,0,0,0,0,0,0,34795,0,3479.5,11003.1451186
18,iqyh,16471,0,0,0,0,0,0,0,0,0,24291,2429.1,7681.48866432
19,sxvk,14712,0,0,0,0,0,0,0,0,0,0,0.0,0.0
20,rpyo,13255,0,0,0,0,0,0,0,0,0,0,0.0,0.0
21,cqfu,11941,0,0,0,0,0,0,0,0,0,0,0.0,0.0
22,axda,10776,0,0,0,0,0,0,0,0,0,0,0.0,0.0
23,sbkg,9726,0,0,0,0,0,0,0,0,0,0,0.0,0.0
24,mkje,8619,0,0,0,0,0,0,0,0,0,0,0.0,0.0
25,lzbe,7755,0,0,0,0,0,0,0,0,0,0,0.0,0.0
26,gzog,7011,0,0,0,0,0,0,0,0,0,0,0.0,0.0
27,jevl,6224,0,0,0,0,0,0,0,0,0,0,0.0,0.0
28,tbko,5503,0,0,0,0,0,0,0,0,0,0,0.0,0.0
29,xfas,5091,0,0,0,0,0,0,0,0,0,0,0.0,0.0
